subjID,cluster
Subject 1206,2
Subject 1403,2
Subject 1901,2
Subject 203,2
Subject 2203,2
Subject 2305,1
Subject 2401,2
Subject 2602,1
Subject 2803,2
Subject 2901,2
Subject 3501,2
Subject 3602,1
Subject 409,1
Subject 413,2
Subject 506,2
Subject 514,2
Subject 603,2
Subject 608,2
Subject 710,1
Subject 908,2
Subject 1105,4
Subject 1205,3
Subject 1301,3
Subject 1304,4
Subject 1308,3
Subject 1309,5
Subject 1407,3
Subject 1409,3
Subject 1508,4
Subject 1602,4
Subject 1603,4
Subject 1604,3
Subject 1605,3
Subject 1607,3
Subject 1701,4
Subject 1704,3
Subject 1804,3
Subject 1903,4
Subject 201,4
Subject 205,3
Subject 2201,3
Subject 2204,4
Subject 2301,4
Subject 2302,3
Subject 2303,5
Subject 2306,3
Subject 2307,4
Subject 2308,4
Subject 2309,3
Subject 2310,4
Subject 2403,3
Subject 2404,3
Subject 2501,3
Subject 2802,3
Subject 3001,4
Subject 3003,5
Subject 3004,3
Subject 3009,3
Subject 304,3
Subject 3101,4
Subject 3301,3
Subject 3303,5
Subject 3304,3
Subject 3705,3
Subject 3902,4
Subject 4003,3
Subject 402,3
Subject 403,4
Subject 405,3
Subject 406,3
Subject 408,3
Subject 410,3
Subject 4102,3
Subject 414,4
Subject 416,3
Subject 417,3
Subject 419,3
Subject 421,3
Subject 4701,4
Subject 501,5
Subject 504,4
Subject 505,3
Subject 507,5
Subject 508,5
Subject 509,5
Subject 515,3
Subject 517,3
Subject 522,3
Subject 601,5
Subject 602,4
Subject 607,3
Subject 609,3
Subject 901,4
Subject 905,4
Subject 907,3
